Sample_Name,M3-Fe_(mg/kg),M3-Al_(mg/kg),M3-P_(mg/kg),M3-K_(mg/kg),M3-Ca_(mg/kg),M3-Mg_(mg/kg),M3-Mn_(mg/kg),M3-Zn_(mg/kg),M3-Cu_(mg/kg),M3-B_(mg/kg),M3-S_(mg/kg),M3-Si_(mg/kg),NH4-N_(mg/kg),NO3-N_(mg/kg),As_(mg/kg),Cd_(mg/kg),Co_(mg/kg),Cr_(mg/kg),Cu_(mg/kg),Ni_(mg/kg),P_(mg/kg),Pb_(mg/kg),Si_(mg/kg),Zn_(mg/kg),d13C,%C,d15N,%N,Bank_Depth_(in),Total_Depth_(in),%_Depth,Classification,%Sand,%Silt,%Clay,%Coarse,%_Fine,Nitrifier_Copy#_Total_(copy#/g_soil),Dentrifier_Copy#_Total_(NosZ)_(copy#_/g_soil)
BEB_24,112.6562641,530.9873752,9.385350909,82.98438587,166.2313662,46.9463681,32.0167225,1.628016391,1.797530152,0.114290868,6.743988439,167.5609061,1.089373,4.481423,1.706392204,0.1,11.25458886,22.38719277,25.1849244,18.02035075,301.1392455,16.66212739,1905.485324,58.47805401,-26.581848,0.6524649,3.019114,0.0270606,24,102,24,Top_Layer,73.47,23.093,3.437,0.73,0.27,116784,227264
BEB_48,143.4813109,619.6947093,5.816617339,79.13156012,201.2985447,56.73758339,46.33603022,0.707033088,1.263417033,0.09,5.120055902,205.7853258,1.0603415,4.132374,2.572356043,0.1,13.73353117,27.24182884,25.095396,21.94805018,356.5430389,9.636052529,1720.755615,63.20351348,-25.002015,0.6053798,5.017909,0.0394667,48,102,47,Upper_Middle_Layer,56.63,36.949,6.421,0.57,0.4337,80723,182946
BEB_72,179.9326083,975.0196288,5.779589868,40.51303389,192.7334883,50.17728045,55.60559159,1.794418712,4.600605088,0.09,14.41197328,179.4752875,0.726226,3.50918,2.959721153,0.1,15.94786606,32.49496319,64.53467019,26.29736309,506.9262439,12.0954458,1808.243133,85.86667342,-25.93672,1.2012276,12.148148,0.0938056,72,102,71,Lower_Middle_Layer,26.12,63.6,10.28,0.26,0.7388,146477,491062
BEB_102,340.7747337,612.2808604,5.023486897,38.74837945,309.461251,90.77558222,41.43107592,1.039320907,1.634865475,0.09,14.44088493,344.0098238,0.1936785,3.338704,1,0.1,11.66955945,28.07359898,20.10916713,14.55352515,417.1258756,10.04921073,1626.600144,53.92097171,-26.463634,0.5502871,8.731307,0.0364066,102,102,100,Bottom_Layer,37.23,53.948,8.822,0.37,0.6277,53970,267043
BYR_16,244.7431248,699.7187925,16.29451872,58.74859989,641.3654978,166.8246162,30.62760578,62.8681833,7.092470698,0.150413382,7.392524052,312.7802255,2.10711,5.84459,4.319207878,0.584275063,19.14531093,51.51759879,65.32301835,35.04259215,652.0663855,46.44055438,1363.479778,519.789248,-25.180122,1.090966,7.593396,0.0722234,16,96,17,Top_Layer,33.74,57.52,8.74,0.34,0.66,1679232,1042663
BYR_32,207.3657314,926.2399036,19.6802051,44.03405367,418.9073063,125.2826245,33.20834661,28.15766336,7.496934046,0.102894146,24.36986466,243.5549482,0.414561,6.349818,4.284830148,0.346848357,18.05370974,47.87987205,50.6577473,30.41336335,627.4557687,34.63941526,1341.395267,242.0230242,-24.721546,1.1451032,12.33922,0.0835376,32,96,33,Upper_Middle_Layer,30.78,60.593,8.627,0.31,0.69,139365,1077867
BYR_48,247.9915546,873.5611417,2.40684302,38.2010048,914.6673633,224.3673449,164.1035798,15.90943583,3.196704581,0.126356504,14.26473533,385.601512,0.065,2.639898,3.59232364,0.203234952,19.82765329,55.7022836,49.00321134,32.83456099,479.7288357,74.58476313,1562.278241,173.6082959,-25.059988,0.8759766,13.230033,0.0739973,48,96,50,Upper_Middle_Layer,0.03,84.12,15.85,0,0.9997,2234104,34918
BYR_64,293.4777092,884.1621255,8.950297905,48.24831955,613.0661364,165.7939806,46.54115448,1.79014778,4.257655425,0.072957305,31.11886157,310.852027,0.3555225,3.912855,3.129054018,0.05,17.46200343,53.34217301,43.82603559,29.8309082,431.2044415,71.70046744,1452.527935,89.15720428,-25.85,1.2448945,7.229965,0.0875245,64,96,67,Lower_Middle_Layer,26.45,61.8,11.75,0.26,0.7355,31366,2703515
BYR_84,709.3603219,680.3263387,14.47341852,55.48192983,566.7874576,143.9230672,83.94285001,2.01119619,1.63757508,0.13951551,11.85999538,272.8120916,4.857245,3.23971,2.452662215,0.119962872,14.05010515,38.97342908,27.58028142,24.55609883,403.8479959,30.32758434,1048.192805,67.44090497,-26.471865,1.3850415,3.065125,0.061698,84,96,88,Bottom_Layer,60.45,33.685,5.865,0.6,0.3955,0,158397
BZ_15,285.1676412,443.309194,30.92644802,64.797073,1198.577139,243.1127418,35.5458257,13.02106846,6.35183744,0.4159771,5.63668328,323.7567738,1.57756,4.02842,2.183853856,0.171217856,11.06159411,38.54812655,34.77377991,28.64038478,639.2642854,38.33936351,1749.892506,116.9275826,-24.65964,1.987276,2.41074,0.092748,15,60,25,Top_Layer,64.6,31.305,4.095,0.65,0.354,11252139,5529954
